1/1 test "expNnWindowed"... [default] (debug): i=3, yi=47549
[default] (debug): j=36, z=6267213421406131932287285043480906442308980311235663161335482734735782273428282517976647548959613319895810720976294104147, zz=19165700158875168158081341627383256940042576761125176938366398775591240621798737576068956183329094891584441662288511012579
[default] (debug): j=40, z=28901964017319358883694172553582564664212757999497923625361810848455263495745066874195552430797449103580105578885067995107, zz=5790467017763299374373648709805796816747186556032268585765137912550297514910477399877475505064914930378348793338926937369
[default] (debug): j=44, z=7309696052715756248894812804973818634528060223308573584016379900169437608806568833527916257851993791890662494857368335539, zz=10085081539140310529350535897622529121159395050935195914784541415162155331390078703002797297365801493899035825469026821381
[default] (debug): j=48, z=21402988867877782790432577182920914871656679111585702921284958404363810892798839002383008237231495003332348608885999231769, zz=514484262385180193116236662303975723313317472998886812336632663748743284482989017630767078921511992894581051628961537100
[default] (debug): j=52, z=3071976344585325705375309451773058384917394451913763123393872416027574945897879256960470416467421627285857490578478286107, zz=995439079781124180944960158300513853668038528073092182960070013657930112419187312346000810131449581645527234762858652394
[default] (debug): j=56, z=17395174782219367165353847333913853289333145324835314199224707020903962377821087327408480603927308438165263401213288463587, zz=3787484454184899886738793853784513490561737385533422387809235180357474383137893456839270266894422073050150884322932894229
[default] (debug): j=60, z=9485242728439636478461737886509111410432121765691044190205080743965768313529103435835394948602773564039927884134203607859, zz=893430502814139952786921526265797083445798590047785588574528441445328119712563453296862541396931020420134202086141182239
[default] (debug): i=0, yi=2398233712967557629
[default] (debug): j=0, z=24323272115438034038719365211615470669047528850132766373114808286675548398854917801202553406213298597184164665715442772225, zz=0
[default] (debug): j=4, z=5351261976994011597308803341665328109220861766585267882155243205729974335077181390994825483381728621499083258004429523249, zz=22779796300066164539058418943351002434393364070141169782799416658324657959671353877339189537021751980416133854179969494252
[default] (debug): j=8, z=10400401602918733980938448202289330316178393936082223621133073822843042891759042512789831386798130695586551125050748400243, zz=2321652776036440653166135238271490580489702173294420867574152739009709768891827858692592127373786124417363333163435980806
[default] (debug): j=12, z=3909309823451346387365942231775713868857563147555532537258119223354316148013698647112569266853900132438281517184126536721, zz=15423548362989792295963000805078990156696949997172487074753259381392722756405349103390897847085311108354000406978398232750
[default] (debug): j=16, z=17461412067139485677639015766276130115812336876880370212432434457725874766984107128399975621928003325489492589917694860681, zz=6489612270099946587255897054721120513330114858545692849797082367032185597964485852002048845247778050886736921001273963855
[default] (debug): j=20, z=25680808875371841015722142587709569362164814640868755663102813505838313912665880552163394479964397556506359748300093589259, zz=491678516136666511001340947710198398226515422260162326435905363800288795526117579559300792343856068942661405864649462746
[default] (debug): j=24, z=15727876736100646682955860112146285429799853164158054236353436324347492267051302860191432699532343553953692461473482299841, zz=11572442289614896998761045680490948828806505778643481935504740688093462878281778977662207494213944473129813765563604129608
[default] (debug): j=28, z=27777784494826404458786373989609243231179366009861988349038696158292264523468032642377635753277162040810563500275694292899, zz=966908241123673645894586037140628098045119257107599973373959073425756892588602662984890679063040029107655957961109973914
[default] (debug): j=32, z=29452563693833835983535601674655223863527972013548864424166453111177262861655403205730064075938501522045875400371105077899, zz=1422664865568499093392900988476070952863036724706425251795586377341150301276140248569729829130889937234318338117663543289
[default] (debug): j=36, z=6022590970279453041356756781415143584919931734597118600475413232814698430143759927610872455350760901226351378142132362193, zz=0
[default] (debug): j=40, z=3066839260128504078486903807819572319504921705643598831112294680137547627377861151748865678372544598034515806969009139491, zz=6704845708648600526381564003002004841215680536486959260443284390927428717049330039843760320106309963020953742749884244927
[default] (debug): j=44, z=13535014612910227053721747263877939787329525308393423226372287255242982911553002010235595726873085080953460893036216209017, zz=228107754761929106152849941157780187345196621143468815069105897125347740805567782706361213090471470179459272576297703758
[default] (debug): j=48, z=28392678078891815362559509798579186296244420049144313015087583607197105342186927272510317541283485561226489879072989223329, zz=2911643105453256354842448697632282680106086419978508428722224859337188800929352137062520403422423590440990908033583319682
